Current Value,New Value
"TBA - as yet, unknown",
Live/BAU - a.s.a.p.,1 Live/BAU - a.s.a.p.
2024 - PEAM 2,
Post-PE Release,2024 Post-PE Release
,2024 PUM 32 AMBS
Apr 2023 - PE Transactions,Z Apr 2023 - PE Transactions
Apr 2023 - PUM 28,Z Apr 2023 - PUM 28
Apr 2023 - Reg Pilot,Z Apr 2023 - Reg Pilot
Apr 2024 PUM 31,Z Apr 2024 PUM 31
Apr-22,Z April 2022
Aug 2023 - FTP,Z Aug 2023 - FTP
Aug 2023 - PUM 29,Z Aug 2023 - PUM 29
Aug 2023 - Records,Z Aug 2023 - Records
Aug xxxx - Financials,Z Aug xxxx - Financials
Change of Circ's,Z Change of Circ's
E2E Test Only,Z E2E Test Only
Jan 2023 - PE Config,Z Jan 2023 - PE Config
Jan 2024 - Support Interactions,Z Jan 2024 - Support Interactions
July 2023 - PE Student Release,Z July 2023 - PE Student Release
Jun-22,Z June 2022
Mar 2023 - PE Outbound,Z Mar 2023 - PE Outbound
Mitigating Circumstances,Z Mitigating Circumstances
Nov 2022 - HESA/DF,Z Nov 2022 - HESA/DF
Oct 2021 - Admissions,Z Oct 2021 - Admissions
Oct 2022 - PUM 26,Z Oct 2022 - PUM 26
PE July Release - SR August Training Materials,Z PE July Release - SR August Training Materials
PE July Release - SR September Training Materials,Z PE July Release - SR September Training Materials
PGR Progression,Z PGR Progression
Sept 23 AMBS PUM 29,Z Sept 23 AMBS PUM 29
TRAIN Dec 23,Z TRAIN Dec 23
TRAIN Feb 24,Z TRAIN Feb 24
TRAIN Jan 24,Z TRAIN Jan 24
TRAIN Nov 23,Z TRAIN Nov 23
